pe_ratio,debt_to_equity,roe,revenue_growth,rsi,macd_signal,bollinger_position,volume_ratio,market_cap,sector,news_sentiment,analyst_rating,future_return
8.43,0.47,0.1561,0.0048,90.2,-1.8735,0.1347,0.53,289.29,Consumer,-1.0378,4.42,-0.0182
28.38,1.63,0.1368,0.1103,94.41,3.396,0.3561,1.78,30489.76,Healthcare,0.8938,4.33,0.223
16.04,3.23,0.1566,0.236,89.54,0.3362,0.3112,3.51,43400.31,Healthcare,0.2852,1.23,-0.083
2.97,1.47,0.1547,0.1391,0.33,-1.4459,0.8801,0.46,545.13,Energy,-0.8899,3.48,-0.0283
15.79,2.55,-0.0218,0.0618,93.4,2.2091,0.2553,2.02,73008.79,Healthcare,0.8607,4.16,0.2432
8.95,2.04,0.1709,0.2192,13.75,0.9893,0.3535,0.79,5462.74,Healthcare,-0.96,4.63,0.0478
7.09,2.02,0.0663,-0.064,3.99,-3.5439,0.1428,0.85,1048.43,Healthcare,0.5524,3.03,0.1211
19.87,1.4,0.0323,0.0463,5.54,-1.0513,0.7754,1.14,2642.31,Technology,0.2855,4.0,0.1081
27.79,0.79,0.0316,0.0498,34.89,0.5582,0.2377,0.55,702.41,Healthcare,-0.6481,4.88,-0.0638
25.66,0.84,0.1547,-0.1055,62.08,-4.3191,0.0683,0.98,2364.16,Finance,1.8842,4.31,0.3
6.23,2.52,0.1022,0.017,40.23,0.1701,0.4351,0.45,192.91,Energy,0.8679,4.42,0.3
9.51,1.67,-0.0146,-0.2312,2.56,0.316,0.3915,1.27,6990.69,Technology,-0.8044,2.63,-0.2652
15.88,1.52,0.1582,0.3668,47.65,-2.367,0.1776,3.06,26218.94,Technology,1.2529,1.37,0.1464
26.59,1.28,0.0048,-0.0606,44.21,0.5413,0.1336,0.73,547.38,Consumer,-0.3496,4.86,-0.0336
8.3,1.37,0.1312,0.3179,75.68,0.0149,0.8966,0.92,8383.67,Consumer,-0.4042,3.78,0.083
10.5,3.09,0.1391,0.0857,27.96,-2.3826,0.0678,0.94,1620.83,Healthcare,0.9575,1.68,0.1034
5.03,1.35,0.1908,0.1647,21.75,1.8391,0.0993,1.64,30871.9,Technology,0.6562,4.9,0.3
4.68,0.74,0.2625,0.0067,25.59,1.6757,0.245,1.22,79.14,Technology,-0.2478,3.86,0.1265
23.34,2.58,0.0108,0.1112,30.37,-0.5795,0.9528,1.58,33650.31,Healthcare,1.5743,1.36,0.0622
36.05,1.46,0.1158,0.1776,59.92,-0.3972,0.0854,0.78,213.68,Energy,-0.7821,1.68,-0.3
11.5,1.68,0.0979,0.1797,47.15,1.4525,0.816,1.24,5324.74,Technology,1.4234,4.46,0.3
27.19,4.33,0.1547,0.1962,33.69,-0.4013,0.8921,0.19,1962.87,Consumer,-0.752,4.82,-0.0185
16.27,1.63,0.1373,0.0248,37.43,-3.8618,0.3779,1.4,3938.65,Healthcare,0.3668,2.46,-0.0047
7.27,1.96,0.0918,0.0079,37.09,0.9739,0.2939,0.54,380.4,Technology,-0.3564,2.65,-0.0743
16.27,0.81,0.0847,-0.1591,97.24,-1.6265,0.6774,0.85,224195.85,Consumer,0.7978,2.58,0.0494
41.7,1.45,0.0307,0.1585,23.3,-0.7797,0.7026,1.45,618.24,Finance,-2.0359,4.34,-0.3
11.84,2.38,0.199,0.2424,81.81,2.9157,0.78,0.46,723.93,Technology,-1.0421,2.81,-0.1482
42.59,0.65,0.1567,0.3224,70.82,-0.268,0.8306,1.72,293502.42,Healthcare,0.5754,2.5,-0.0593
1.5,1.86,0.1934,0.1258,0.56,0.0035,0.2684,0.94,15450.6,Consumer,0.8839,3.49,0.3
23.51,1.75,0.0952,-0.035,99.32,1.0193,0.687,2.07,659.5,Technology,-0.6359,2.96,-0.2314
13.06,1.69,0.0675,-0.1746,75.64,1.0107,0.1349,0.64,6263.06,Consumer,1.0763,3.13,0.1903
9.59,3.07,0.0337,0.2363,68.24,-1.8384,0.5107,0.4,5057.06,Healthcare,-0.6958,2.63,-0.1374
13.11,2.02,0.1487,-0.1894,40.53,-0.1206,0.6129,0.99,277.19,Technology,0.5195,2.84,0.0635
2.48,4.0,0.0368,0.0289,55.52,0.0723,0.1617,1.34,1778.41,Healthcare,-0.14,1.14,-0.1766
10.22,0.91,0.2679,0.0464,25.33,0.5441,0.0765,1.4,7686.64,Energy,-1.5027,4.7,-0.0608
16.21,1.79,0.0154,0.0696,3.55,0.5784,0.1947,0.57,102010.99,Technology,1.7621,1.12,0.1193
39.74,1.73,0.1419,0.0854,83.6,5.1749,0.4206,0.44,5554.37,Technology,-0.5587,4.09,-0.1557
8.05,0.87,0.2453,0.1007,89.65,-2.3517,0.8878,0.86,6455.64,Consumer,-0.7353,2.19,-0.1251
6.38,2.93,0.1679,-0.2823,16.25,1.9602,0.5319,1.29,1587.1,Technology,-0.3818,1.45,-0.2315
8.15,6.65,0.1341,0.0822,78.71,2.3668,0.7485,1.26,72531.89,Energy,-0.4263,3.44,0.0037
25.34,1.63,0.0425,-0.2544,74.12,0.9856,0.1741,2.19,49248.96,Consumer,0.205,3.83,-0.0348
15.85,2.23,0.0095,0.1898,17.84,-1.3006,0.106,0.83,39287.81,Consumer,-0.4741,3.52,-0.0817
7.97,1.73,0.1816,-0.0033,42.18,3.3293,0.2396,0.4,10134.27,Finance,-0.523,3.3,-0.0297
18.37,1.07,0.2405,-0.2436,42.28,-4.384,0.3139,1.82,331.24,Technology,0.4833,3.14,0.0395
13.17,0.55,0.0849,-0.0421,76.0,-1.3665,0.5481,1.1,71206.53,Finance,0.0069,3.16,0.0047
26.44,1.08,0.0289,-0.0055,83.77,2.3434,0.8812,1.15,9087.54,Energy,0.4636,4.46,0.1264
6.95,0.72,-0.0767,0.2586,9.48,-0.7402,0.4261,1.47,4371.31,Technology,-0.286,1.36,-0.1847
9.37,4.58,0.0415,0.1095,56.3,3.1929,0.5188,1.88,19869.04,Finance,0.3017,1.63,-0.0651
8.9,1.54,0.1109,0.1317,76.17,-3.0236,0.0046,0.99,12687.59,Finance,-1.5217,4.25,-0.1444
3.78,1.34,0.2479,0.2572,78.62,-2.2242,0.0333,1.8,954.9,Consumer,1.0919,2.21,0.2977
15.44,2.81,0.1739,0.0656,14.8,-1.0633,0.0838,1.32,4265.88,Finance,-0.4103,4.09,0.0621
15.01,0.84,0.1444,0.1931,52.55,0.8348,0.699,0.72,179.79,Finance,-0.2186,2.41,-0.0664
12.23,1.04,0.088,0.1826,85.76,-0.444,0.4862,0.89,9624.37,Technology,0.5479,4.7,0.3
10.1,1.72,0.0733,-0.113,31.85,-0.9808,0.193,1.36,115873.64,Technology,0.2453,2.13,-0.0564
3.93,3.06,0.2325,0.3009,42.51,2.8408,0.5926,0.7,223.36,Consumer,0.6358,2.71,0.2468
8.7,2.23,0.1361,-0.133,80.44,3.0269,0.5446,1.56,10480.34,Technology,1.3674,1.64,0.1583
9.26,1.91,-0.0482,0.2176,8.93,-0.8288,0.0888,1.08,30852.01,Energy,-0.2438,3.67,0.0327
6.41,1.73,0.0661,-0.1476,85.95,-3.4195,0.6404,1.21,41469.52,Consumer,-0.0399,2.61,-0.0414
10.71,2.1,0.0513,0.1702,31.12,-4.315,0.7672,2.05,1821.87,Energy,2.6879,4.76,0.3
16.83,1.86,0.0763,0.3593,0.15,0.4786,0.2866,1.2,893.85,Technology,-0.4742,1.06,-0.261
55.09,0.89,0.165,0.0481,23.42,1.3119,0.6875,1.04,2504.63,Technology,-0.6729,2.55,-0.3
14.01,1.69,0.1114,0.0415,8.95,0.126,0.1997,0.96,87705.69,Consumer,0.7908,1.09,-0.0318
14.97,0.87,0.1139,0.1716,9.24,-0.1418,0.7567,0.93,265.31,Finance,0.938,2.32,0.1317
11.48,1.73,0.2251,0.0306,69.28,-1.6091,0.9118,1.17,711.99,Healthcare,0.8459,2.52,0.1872
2.62,1.24,0.0643,0.3527,21.4,1.31,0.4419,1.98,3237.19,Healthcare,-0.6615,2.03,-0.1057
11.93,7.57,0.2691,0.1088,93.47,3.3564,0.2446,0.74,1151.31,Technology,-0.1405,2.02,-0.0567
12.78,1.61,0.0663,0.032,51.64,-4.4338,0.3992,0.71,7455.11,Energy,-0.0045,2.04,-0.1146
87.41,0.71,0.1271,-0.001,46.01,-0.155,0.2501,1.9,137180.37,Consumer,-0.2948,2.07,-0.3
10.44,1.52,0.0975,-0.0599,43.43,-1.9407,0.0012,0.75,729.5,Finance,0.1647,2.13,-0.081
15.51,2.25,0.1299,-0.0142,69.26,-2.9809,0.6505,1.11,6046.7,Technology,-0.3117,4.41,0.057
11.85,4.5,0.1556,0.0274,45.23,-2.26,0.0425,0.74,7970.46,Energy,1.525,1.16,0.1496
4.78,1.16,0.1547,0.0069,12.86,0.7593,0.2104,0.43,4149.85,Technology,-0.9916,4.96,0.0498
30.39,0.64,0.0598,-0.0187,88.02,0.8099,0.7224,1.1,344.86,Healthcare,1.7466,2.13,0.1254
22.23,2.69,0.0302,0.3948,42.84,2.9206,0.6657,1.75,2262.78,Technology,-1.2499,1.11,-0.3
22.94,0.72,0.3203,-0.0745,7.4,0.0176,0.0733,0.97,2276.35,Energy,1.9805,1.7,0.2396
5.89,1.27,0.0813,0.102,52.94,-3.5164,0.6601,0.48,28767.68,Healthcare,0.9269,4.77,0.3
37.42,1.41,0.1759,0.1689,64.73,-0.4763,0.9306,1.06,18753.93,Technology,-0.6965,4.99,-0.056
3.97,1.58,-0.0086,0.1745,27.56,-2.7728,0.0745,0.69,363.66,Healthcare,-0.0047,1.99,-0.0576
19.48,2.49,0.0976,0.0712,80.03,-2.4136,0.4157,0.27,3735.84,Consumer,0.7066,1.9,0.0102
70.27,1.09,0.1098,0.0439,66.98,1.1611,0.7294,0.96,2979.44,Energy,0.7168,4.34,-0.0967
5.52,1.4,0.1578,0.1477,65.03,0.3884,0.6677,1.3,404089.06,Energy,-0.1191,4.66,0.2289
7.74,1.63,-0.0978,0.12,42.08,1.1751,0.2265,1.8,14539.53,Consumer,-1.014,3.6,-0.1519
13.19,1.8,0.1333,0.0412,96.19,-0.715,0.1631,2.41,939.29,Energy,1.0525,4.74,0.3
8.14,1.75,0.028,-0.1543,27.42,1.5811,0.7842,1.38,1713.69,Energy,0.2781,4.8,0.1892
3.52,2.14,0.1459,0.0098,57.77,-0.8268,0.9562,1.59,3800.58,Technology,1.4056,4.04,0.3
12.87,2.74,0.0371,-0.092,30.91,2.2334,0.7676,0.53,16726.26,Finance,-0.1097,2.39,-0.1401
5.21,2.09,0.0516,-0.0201,74.48,0.6893,0.9632,2.25,21372.11,Technology,0.2009,1.6,-0.0678
17.79,2.16,0.0981,0.085,4.78,-0.414,0.605,1.88,12100.06,Consumer,1.4209,3.07,0.2746
5.84,0.64,0.0358,0.1338,4.59,0.4242,0.9291,0.83,5326.61,Consumer,0.2416,2.16,0.0076
42.1,1.7,0.082,0.3471,81.09,-0.0357,0.6904,1.41,6173.37,Finance,-1.2989,1.47,-0.3
6.51,2.2,0.0245,-0.0006,43.43,3.1922,0.9089,1.34,6260.79,Technology,-1.4433,2.58,-0.3
9.42,2.55,-0.0267,0.1962,34.12,0.4909,0.1616,2.09,229.1,Technology,-1.7223,2.92,-0.3
23.36,1.09,0.2014,0.1259,60.75,-0.0032,0.8156,0.93,7168.25,Technology,-0.8764,3.65,-0.1269
4.55,1.11,0.0163,0.2744,70.19,-0.477,0.1967,0.69,2554.19,Healthcare,-0.4224,1.88,-0.1299
14.61,1.17,0.1057,0.1664,20.12,1.6864,0.0274,0.78,297.18,Healthcare,0.8904,4.47,0.3
34.66,2.27,0.1802,-0.0713,18.54,1.4158,0.5176,1.57,1020461.11,Technology,1.0175,1.74,-0.0644
3.37,3.07,0.0708,-0.1785,95.82,-0.5477,0.3183,0.38,15102.37,Healthcare,-2.0968,4.99,-0.2298
14.12,1.29,0.054,0.1267,58.97,-2.3113,0.0435,0.22,8318.24,Technology,0.6185,3.23,0.1535
15.0,2.84,0.1381,0.0007,39.01,-1.8039,0.9803,1.56,3857.38,Consumer,-0.3682,1.59,-0.2217
22.77,1.78,0.2094,-0.067,80.14,-0.3683,0.6665,1.15,34907.08,Technology,0.3493,4.34,0.1329
4.53,1.53,0.0265,-0.1101,52.52,2.6979,0.9018,1.01,792.66,Healthcare,1.9273,2.01,0.2903
4.24,1.45,0.108,0.1041,24.17,-0.5004,0.9991,0.52,4335.5,Finance,-0.8215,1.75,-0.1897
18.5,2.58,-0.0186,0.3062,20.67,-1.1882,0.392,0.43,1206.72,Consumer,0.4946,1.54,-0.072
15.45,2.0,0.0885,0.0187,39.69,-3.5214,0.2547,0.73,34307.72,Energy,1.0629,3.2,0.1937
14.89,6.46,0.1227,0.1685,85.99,3.0271,0.1839,1.2,1550.79,Finance,0.0826,4.52,0.1821
16.07,0.99,0.0516,0.0647,6.14,1.1381,0.5152,0.75,73324.91,Finance,-0.619,4.59,-0.013
7.07,2.25,0.0834,-0.1134,21.85,1.592,0.6061,1.57,6643.87,Energy,-0.6359,4.14,-0.007
14.67,1.2,0.0073,0.1902,89.32,1.9234,0.4724,0.62,38138.52,Consumer,-0.4801,3.33,-0.0834
15.4,0.98,0.1262,-0.0842,12.17,-0.3295,0.3873,0.77,18028.66,Energy,0.2341,3.12,0.0317
6.88,1.64,0.2045,0.0832,62.96,0.1692,0.1683,1.42,67406.02,Consumer,-0.6852,2.5,-0.1049
54.2,1.79,0.0322,0.0288,21.35,2.9772,0.4419,0.83,1248.44,Consumer,0.5917,1.18,-0.3
17.8,9.5,0.0702,0.214,60.59,0.3592,0.0852,0.85,49575.22,Consumer,0.4191,4.35,0.1969
4.7,1.48,0.1602,-0.0787,38.31,1.1751,0.865,0.72,195.36,Finance,-1.7182,5.0,-0.0918
20.6,0.84,0.217,0.1386,10.17,1.7411,0.0469,0.66,8833.03,Consumer,1.1247,4.68,0.3
5.59,1.94,0.0005,-0.046,58.25,1.2859,0.3806,1.19,2719.37,Energy,2.2092,4.73,0.3
22.87,0.47,0.1065,0.0033,68.3,-0.2563,0.1001,1.27,488.29,Finance,-0.4801,2.33,-0.2425
30.78,1.56,0.1427,-0.4653,68.03,-0.0678,0.775,1.12,1356.9,Consumer,0.9159,1.4,-0.2001
6.32,1.66,0.1118,0.3938,63.7,1.5553,0.3127,0.73,2250.01,Healthcare,1.3469,4.49,0.3
26.33,2.66,-0.0781,0.1626,50.02,1.552,0.1131,0.9,5469.25,Healthcare,0.7171,4.06,0.128
16.95,2.96,0.1601,-0.0351,51.95,2.3365,0.5315,2.22,2836.43,Consumer,0.5619,2.56,0.038
23.52,1.22,0.2415,-0.0887,63.56,1.1022,0.9163,0.49,9509.55,Healthcare,-1.6929,4.33,-0.2717
55.56,1.51,0.1293,0.0057,69.03,1.1932,0.9086,2.57,1540.22,Technology,-0.2842,1.55,-0.3
10.01,1.04,0.0375,0.1875,65.49,-0.8925,0.2497,1.05,3122.17,Finance,-0.1513,3.6,0.0654
6.67,0.84,0.0789,-0.2038,58.69,-1.1623,0.7197,0.91,4545.39,Technology,1.3357,4.81,0.3
5.98,1.99,0.2616,0.0588,15.58,1.5613,0.0303,1.61,11663.18,Finance,-1.281,4.64,0.0228
6.34,0.77,0.1928,0.3456,21.06,-1.1484,0.1319,0.36,44253.71,Energy,1.9499,4.04,0.3
11.45,1.29,0.1712,-0.0901,26.02,-0.0414,0.4995,1.99,44682.0,Healthcare,1.6351,2.07,0.2285
16.01,0.91,0.1485,0.0921,91.97,2.758,0.2288,2.53,13029.46,Healthcare,-0.9924,1.41,-0.3
15.2,2.29,0.0671,0.4105,75.94,2.4411,0.7983,1.72,19158.58,Healthcare,-1.2494,2.3,-0.2676
23.61,4.86,0.104,0.1748,55.29,0.6036,0.9311,0.35,15119.4,Consumer,1.0817,3.47,0.2238
12.31,0.76,0.1138,0.0989,25.21,-0.5923,0.0043,1.47,4318.73,Finance,-0.2899,2.27,-0.1205
38.97,0.54,0.164,0.156,11.09,-0.2468,0.2329,2.28,49077.99,Consumer,-0.2445,2.65,-0.2064
9.86,1.53,0.2407,0.0199,89.88,1.7353,0.4396,2.16,1301.19,Healthcare,0.9803,2.61,0.2042
107.35,1.66,0.2095,0.2749,89.27,-0.073,0.5631,0.49,134.79,Energy,-1.1741,2.34,-0.3
20.1,1.88,0.0064,0.0201,11.07,-1.1166,0.9159,1.66,1009.31,Healthcare,0.9685,4.69,0.2888
6.14,1.26,0.1379,-0.2139,79.72,2.4315,0.8919,2.45,134086.67,Consumer,-1.2346,2.28,-0.3
5.17,1.46,0.1789,0.0213,44.66,0.3632,0.6372,1.01,4487.87,Healthcare,-1.2961,4.97,0.0041
17.92,2.06,0.1695,-0.065,32.4,-1.1545,0.2574,0.48,14020.25,Technology,0.9166,1.84,0.0272
10.19,3.08,0.0697,0.0378,73.91,0.9579,0.7833,1.51,4684.9,Technology,0.6912,4.49,0.2972
21.57,0.51,0.3531,0.0411,61.43,1.9424,0.2027,1.69,24917.62,Consumer,-2.1843,3.93,-0.3
17.79,1.32,0.0178,0.2596,78.0,-2.0153,0.9652,0.93,9334.06,Technology,0.8848,3.68,0.2309
11.49,1.87,0.0333,0.1843,7.43,-0.4009,0.0058,0.55,7064.35,Finance,1.9299,2.78,0.3
6.19,0.95,0.1387,0.1195,31.86,-0.4934,0.5698,1.63,27654.86,Finance,0.1101,4.27,0.2158
3.63,4.66,0.2893,0.0796,31.93,0.9046,0.0884,0.68,3192.77,Consumer,1.2835,2.97,0.3
8.52,1.13,0.0531,-0.0788,32.98,1.264,0.4076,1.22,17054.26,Technology,-0.2208,1.54,-0.1835
24.17,1.61,0.0987,-0.2472,50.25,-1.1029,0.6349,2.18,5713.33,Finance,1.0853,2.12,-0.015
14.46,2.3,0.2062,0.097,28.3,-2.9855,0.6896,0.44,6536.44,Technology,-2.638,1.73,-0.3
4.5,1.16,0.1186,0.1992,44.44,2.0636,0.7856,1.57,1576.25,Healthcare,-0.618,3.28,-0.0119
13.99,0.54,0.0932,0.0637,36.78,-2.2399,0.5933,0.9,5261.06,Technology,2.8459,3.62,0.3
16.58,1.27,0.1653,-0.0002,73.53,0.5424,0.2513,0.91,2744.94,Technology,1.5022,2.34,0.2064
6.01,3.06,0.1418,0.1497,60.35,-0.264,0.8893,1.29,77640.18,Consumer,-0.3082,1.16,-0.1711
13.78,1.35,0.2024,0.0675,65.36,0.3249,0.8111,0.68,279.18,Healthcare,-0.0204,3.63,0.0933
12.76,0.99,0.2233,0.3329,21.06,3.3025,0.1601,0.56,47979.05,Finance,-1.1154,1.25,-0.2949
4.88,2.87,0.1446,0.2649,32.55,6.0766,0.8265,0.41,247.52,Finance,0.017,4.86,0.3
16.22,1.35,0.1433,0.2239,2.12,-3.2669,0.9726,1.85,23728.48,Technology,-1.7202,4.55,-0.1825
19.08,1.21,0.1371,0.1937,10.84,1.9678,0.6372,0.83,1517.08,Energy,0.5392,4.32,0.2239
28.98,1.8,0.1591,-0.1135,26.51,-0.3125,0.2818,1.33,25150.79,Energy,-0.5555,2.47,-0.2815
28.31,2.62,0.1244,0.1794,6.55,2.0957,0.6066,0.78,6356.81,Finance,0.7005,3.98,0.1757
4.05,6.88,0.12,0.1364,60.26,1.9145,0.3425,0.56,461.87,Technology,-0.568,1.18,-0.2012
5.75,2.71,0.2157,0.171,99.81,2.8195,0.6759,1.39,122668.03,Technology,-0.6323,1.36,-0.1788
18.39,3.31,0.2413,0.1539,10.08,0.5699,0.5448,1.18,38303.35,Healthcare,0.9144,2.98,0.197
18.38,1.22,-0.0006,0.1479,82.12,-1.7792,0.9295,0.89,22166.8,Consumer,-0.4374,3.35,-0.1076
18.39,0.89,0.1208,0.4851,11.88,1.8553,0.6179,1.16,2251.29,Energy,-0.3711,4.07,0.0922
265.65,1.71,0.0649,0.0686,66.99,0.236,0.214,0.62,41034.53,Technology,1.517,2.19,-0.3
19.23,1.76,0.0951,0.2205,64.32,-0.4677,0.7251,1.7,622.35,Finance,1.4935,3.17,0.2983
30.22,0.86,0.1522,0.0094,90.27,-0.9524,0.3009,1.91,94.13,Energy,0.8563,1.25,-0.1108
26.13,1.48,0.1736,0.1986,11.39,2.0127,0.2724,1.46,356.15,Consumer,0.0294,2.88,-0.0428
20.51,2.1,0.111,0.2209,31.54,3.2067,0.3918,0.83,1281.8,Technology,2.4896,3.69,0.3
9.47,2.05,-0.0331,0.1347,9.08,-2.3907,0.012,1.03,1790.64,Energy,1.3895,4.96,0.3
22.36,2.23,0.0428,0.3304,40.74,1.2439,0.9691,2.19,3395.86,Technology,-0.643,4.07,-0.058
6.56,1.96,0.1917,-0.0526,91.16,-0.7448,0.5323,1.9,3711.29,Consumer,0.7449,4.98,0.3
10.08,1.22,-0.0992,0.0069,78.15,-2.9345,0.7735,2.71,2209.06,Healthcare,-0.9686,2.99,-0.2552
8.26,1.21,0.215,0.1119,72.29,0.2954,0.2579,0.68,117.61,Energy,0.4545,2.73,0.1427
13.01,0.8,0.1617,0.2121,53.3,-1.6663,0.7466,0.65,11899.44,Consumer,-0.1727,4.34,0.1573
77.61,4.81,0.2253,0.1069,88.35,-3.1555,0.5672,1.07,4772.62,Healthcare,-0.5368,2.85,-0.3
2.74,1.66,0.1041,0.2729,44.94,-1.5635,0.4241,1.23,2012.86,Healthcare,0.4738,4.02,0.3
21.09,1.44,-0.0449,-0.0193,14.97,-2.0555,0.9707,0.93,132726.06,Consumer,-0.8499,4.98,-0.0933
3.35,0.94,0.1544,-0.0911,83.76,-1.2934,0.4938,0.82,4992.39,Finance,-0.2414,3.9,0.1099
8.35,9.6,0.222,0.1262,27.96,-2.6518,0.6575,1.88,9109.41,Consumer,0.4761,1.06,-0.0076
29.11,0.87,0.194,0.0684,5.36,-0.7903,0.0153,0.96,39803.11,Technology,0.1031,1.72,-0.1835
12.83,1.27,0.067,0.1614,12.6,-1.4265,0.3015,0.54,411.69,Finance,-0.1719,2.11,-0.0973
5.14,2.12,0.1269,0.0759,60.91,0.7512,0.8887,0.58,7744.82,Healthcare,-0.2991,4.29,0.1345
6.87,2.36,0.0774,0.029,60.71,1.1871,0.759,1.13,39541.09,Energy,-0.2615,4.73,0.1745
